Input Size,Run Time (ns)
0,3599
1,3804
2,3992
3,3566
4,4121
5,3809
6,3488
7,3420
8,3574
9,3504
10,3556
11,3605
12,3636
13,3623
14,3711
15,3684
16,3925
17,3767
18,3659
19,3852
20,3825
21,3907
22,6837
23,8414
24,8160
Input Size,Run Time (ns)
0,3017
1,3224
2,3331
3,2837
4,2996
5,3028
6,3092
7,3133
8,2750
9,2717
10,2722
11,2577
12,2907
13,2388
14,2732
15,2746
16,2741
17,3088
18,2737
19,2657
20,2836
21,3111
22,6213
23,6556
24,6439
Input Size,Run Time (ns)
0,3864
1,3849
2,4303
3,3148
4,3275
5,3813
6,3774
7,3752
8,3812
9,3922
10,3596
11,4185
12,4156
13,3723
14,3618
15,4050
16,3589
17,3437
18,3458
19,3383
20,3587
21,3293
22,5823
23,6728
24,6366
