Input Size,Run Time (ns)
0,2710
1,2597
2,3650
3,3933
4,4792
5,6372
6,7233
7,7685
8,7535
9,8067
10,8058
11,9536
12,8713
13,9564
14,9729
15,10604
16,12065
17,15108
18,19150
19,26259
20,38029
21,55255
22,85657
23,132660
24,209535
Input Size,Run Time (ns)
0,2316
1,2162
2,2911
3,2915
4,3593
5,4275
6,5837
7,6823
8,7040
9,7043
10,7442
11,8355
12,10149
13,7852
14,9524
15,9713
16,11374
17,14217
18,18793
19,25733
20,36725
21,54894
22,84207
23,131709
24,208933
Input Size,Run Time (ns)
0,2277
1,2358
2,2886
3,2982
4,3980
5,5060
6,6117
7,6757
8,7010
9,7122
10,7649
11,8233
12,7923
13,8547
14,9591
15,10381
16,10951
17,13786
18,18400
19,25234
20,36645
21,54941
22,84132
23,131908
24,208853
